codigo_unico,descripcion,nombre,categoria,marca,precio_compra,precio_venta,stock_actual
ASIE010,SN,ASIENTO DAYTONA DY250 CROSSFIRE/AXXO XTREEM 250/THUNDER F16 250 - MOTTOX,ACCESORIOS ,MOTTOX,29.63,41.5,0
9270,SN,ASIENTO TUKO CR5,ACCESORIOS ,NA,24.28,34,1
10165,SN,BASE TACOMETRO O SOPORTE TABLERO GP300 (ORIGINAL) - PROINTER,ACCESORIOS ,PROINTER S.A LONCIN,47,65.8,0
01.010.0007,SN,COBERTOR DE MOTOR PLASTICO NEGRO MATE FACTORY 370(19-23)-MOXAL,ACCESORIOS ,MOXAL,23,32.2,1
P10219,SN,COBERTOR DE TANQUE DE GASOLINA M1R200 NEGRO - MOTTOX,ACCESORIOS ,MOTTOX,17.14,24,1
01.024.0069,SN,COBERTOR INFERIOR DE FARO FACTORY370(2023)-MOXAL,ACCESORIOS ,MOXAL,5.17,7.25,1
COB00036,SN,COBERTOR INFERIOR DE MOTOR TUNDRA VENOM GT200 ROJO - RCP-IDIRSA,ACCESORIOS ,IDIRSA,14.28,25,0
01.013.0033,SN,COBERTOR LATERAL I/D AZUL GN125 (2012) - MOXAL,ACCESORIOS ,MOXAL,6.03,8.45,1
01.013.0032.,SN,COBERTOR LATERAL I/D NEGRO GN125 (2012) - MOXAL,ACCESORIOS ,MOXAL,4.93,6.91,0
01.013.0170,SN,COBERTOR LATERAL I/D NEGRO MATE FACTORY370 (2023) - FACTORY,ACCESORIOS ,FACTORY,63.96,89.55,1
01.013.0031,SN,COBERTOR LATERAL I/D ROJO GN125(2012) - MOXAL,ACCESORIOS ,MOXAL,5.42,7.6,0
01.013.0169,SN,COBERTOR LATERAL PORTA GUIA DIRECCIONAL I/D NEGRO MATE FACTORY 370(2023) - MOXAL,ACCESORIOS ,MOXAL,17.25,22,1
P10811,SN,COBERTOR POSTERIOR COMPLETO ICS150S ROJO - MOTTOX,ACCESORIOS ,MOTTOX,16.42,23,0
01.024.0070,SN,COBERTOR SUPERIOR DE FARO FACTORY 370(2023)-MOXAL,ACCESORIOS ,MOXAL,8.75,12.25,1
CBRT054,SN,COBERTOR TANQUE DE GASOLINA GRIS LONCIN CR5 PRO - MOTTOX,ACCESORIOS ,MOTTOX,22.57,31.6,1
342080184-0158,SN,COLETA DERECHA COLOR ROJO TUKO CR5 - TUKO,ACCESORIOS ,TUKO,7.49,10.5,0
342040185-0158,SN,COLETA IZQUIERDA ROJA TUKO CR5 250 (ORIGINAL) - TUKO,ACCESORIOS ,TUKO,9.43,13.2,0
002648,SN,COMPLEMENTO DE MASCARILLA /MASCARILLA FRONTAL ROJO(PASEO) CABALLITO - TUKO,ACCESORIOS ,MOTO INDUSTRIA S.A TUKO,12.35,17.3,1
003182,SN,COMPLEMENTO DE MASCARILLA TUKO CR5 (ORIGINAL) - MOTOINDUSTRA TUKO S.A,ACCESORIOS ,MOTO INDUSTRIA S.A TUKO,7.49,10.5,0
341430614 -0097,SN,COMPLEMENTO DE MASCARILLA TUKO CR5 250 (ORIGINAL)-TUKO,ACCESORIOS ,TUKO,7.14,10,0
342350447-0001,SN,CUBIERTA DE STOP GT (ORIGINAL)-TUKO,ACCESORIOS ,MOTO INDUSTRIA S.A TUKO,4.14,5.8,2
011150,SN,CUBIERTA DE TANQUE DERECHA/BC (ORIGINAL) - TUKO,ACCESORIOS ,MOTO INDUSTRIA S.A TUKO,16.67,23.35,0
340020054-0061,SN,CUBIERTA DE TANQUE IZQUIERDA TUKO CR5 250 (ORIGINAL) - TUKO,ACCESORIOS ,TUKO,17.96,25.15,0
011148,SN,CUBIERTA DEL TANQUE IZQUIERDO/BC - MOTOINDUSTRIA TUKO S.A,ACCESORIOS ,MOTO INDUSTRIA S.A TUKO,17.14,24.01,0
340030050-0061,SN,CUBIERTA LATERAL DERECHA TUKO CR5 250 (ORIGINAL) - TUKO,ACCESORIOS ,TUKO,15.18,24.5,0
MCV00007,SN,CUBIERTA SUPERIOR VELOCIMETRO BAJAJ PULSAR 200NS -ORIGINAL-IDIRSA,ACCESORIOS ,IDIRSA,4.78,8.5,0
CUBR005,SN,CUBRE CADENA PLASTICO RANGER 250GY-50 (2021) - MOTTOX,ACCESORIOS ,MOTTOX,3.5,4.91,1
JL181203,SN,ESTRUCTURA DE FARO PULSAR 200NS/FI PULSAR 150NS(ORIGINAL)-INDIAN MOTOS,ACCESORIOS ,INDIAN MOTOS INMOT S.A BAJAJ,8.75,12.25,0
18107.112-GEN,SN,FARO BAJAJ PULSAR 160NS/PULSAR 200NS/PULSAR R150NS - MAGIATY,ACCESORIOS ,MAGIATY,83.57,128.01,0
10430,SN,FARO DUKARE,ACCESORIOS ,NA,27,37.8,0
JL401012,SN,FARO PULSAR 150NS;160NS;PULSAR200NS (ORIGINAL) - INDIAN MOTOS,ACCESORIOS ,INDIAN MOTOS INMOT S.A BAJAJ,116.39,162.95,0
FA00031,SN,FARO SUZUKI AX100-ORIGINAL-IDIRSA,ACCESORIOS ,IDIRSA,19.79,27.71,1
280350726-0001,SN,FARO TUKO CR5 (ORIGINAL) SGC LONCIN MADIFRA,ACCESORIOS ,SGC/LONCIN MADIFRA,14.28,20,1
280350913-0001,SN,FARO TUKO GT CR5 LX-250-15A-0001 (ORIGINAL)-LONCIN,ACCESORIOS ,CAYAMBE MOTOS IMPORTACIONES Y DISTRIBUCIONES,45.98,64.4,0
01.025.0142,SN,FARO Y MASCARILLA NEGRO MATE FACTORY 370(2023)-MOXAL,ACCESORIOS ,MOXAL,92.67,129.75,0
01.019.0085,SN,GUARDABARRO POSTERIOR COMPLETO PULSAR 200NS - MOXAL,ACCESORIOS ,MOXAL,12.63,17.7,0
8465,SN,GUARDAFANGO DELANTERO AX100 - NA,ACCESORIOS ,NA,5,7,2
02122500176FJ,SN,GUARDAFANGO DELANTERO M1R 250 FV BI"24 - MOTOR 1,ACCESORIOS ,MOTOR 1,0,10.66,0
01.019.0219,SN,GUARDAFANGO DELANTERO NEGRO BRILLANTE NEGRO MATE WOLF,ACCESORIOS ,MOXAL,15,21.01,1
01.019.0227,SN,GUARDAFANGO DELANTERO NEGRO BRILLANTE/MATE GP200 - MOXAL,ACCESORIOS ,MOXAL,16.42,23,0
P10218,SN,GUARDAFANGO DELANTERO PLASTICO 4 HUECOS M1R200 NEGRO - MOTTOX,ACCESORIOS ,VARROC,8.85,12.4,0
M01380,SN,GUARDAFANGO DELANTERO PLASTICO BAJAJ PULSAR 200NS NEGRO - MOTTOX,ACCESORIOS ,VARROC,10.92,15.3,1
P10844,SN,GUARDAFANGO DELANTERO PLASTICO NEGRO SUZUKI GIXXER - MOTTOX,ACCESORIOS ,MOTTOX,10.36,14.5,0
P11213,SN,GUARDAFANGO DELANTERO PLASTICO PP 4HUECOS TUNDRA RAPTOR 250 NEGRO - MOTTOX,ACCESORIOS ,VARROC,8.71,12.2,0
P11112,SN,GUARDAFANGO DELANTERO PLASTICO ROJO TUKO CR5 - MOTTOX,ACCESORIOS ,MOTTOX,15.7,22,2
P11191,SN,GUARDAFANGO DELANTERO PLASTICO SHINERAY GP200 SPORT/DAYTONA WING EVO II/AXXOF51 NEGRO-MOTTOX,ACCESORIOS ,VARROC,16.03,22.5,1
P11111,SN,GUARDAFANGO DELANTERO PLASTICO TUKO CR5 NEGRO - MOTTOX,ACCESORIOS ,MOTTOX,12.82,22,1
GRDF043,SN,GUARDAFANGO DELANTERO PLASTICO TUNDRA VENOM GT 200 ROJO Y NEGRO - MOTTOX,ACCESORIOS ,MOTTOX,17.25,24.15,1
R200-6E1016ROJ,SN,GUARDAFANGO DELANTERO SHINERAY THOR (2023) ROJO (ORIGINAL)- SHINERAY,ACCESORIOS ,SHINERAY,13.99,19.6,0
R200-VR1306ROJ,SN,GUARDAFANGO DELANTERO SHINERAY VORTEX II ROJO(ORIGINAL)-SHINERAY,ACCESORIOS ,SHINERAY,18.99,26.6,0
7860001113436,SN,GUARDAFANGO DELANTERO TK CR3 NEGRO - EXTREME (RL10755),ACCESORIOS ,EXTREME,13.7,19.2,0
CBB250XP-002R,SN,GUARDAFANGO DELANTERO XPOWER 250 ROJO (ORIGINAL) - DAYTONA,ACCESORIOS ,DAYTONA,31.78,44.5,0
CBB250XP-002RBI,SN,GUARDAFANGO DELANTERO XPOWER 250 ROJO BARRAS INVERTIDAS (ORIGINAL) - DAYTONA,ACCESORIOS ,TODO MOTO,36.5,51.1,1
8380,SN,GUARDAFANGO KTM 200/300 - 92 MOTO SHOP KTM,ACCESORIOS ,92 MOTO SHOP KTM,81.43,114.01,0
GPP00012,SN,GUARDAFANGO PORTA PLACA BAJAJ PULSAR200NS -ORIGINAL-IDIRSA,ACCESORIOS ,IDIRSA,10.71,15.01,1
02122500158TJ,SN,GUARDAFANGO POST.NEGRO M1R/200/250 - MOTOR1,ACCESORIOS ,MOTOR 1,0,11.35,0
R200-6E1116,SN,GUARDAFANGO POSTERIOR C/LUZ PORTA PLACA LED SHINERAY THOR (OIGINAL)(18-24) - SHINERAY,ACCESORIOS ,SHINERAY,19.38,27.15,0
7860001107442,SN,GUARDAFANGO POSTERIOR PULSAR 200NS - EXTREME (RL10058),ACCESORIOS ,EXTREME,12.53,17.55,0
P10829,SN,GUARDAFANGO POSTERIOR PULSAR 200NS-MOTTOX,ACCESORIOS ,MOTTOX,6.25,8.76,1
